# Selection   : all 
# Volume      : 7.500000e-05
# Time        	max(cloud:alpha)
0.284048      	3.599204e-01
0.286327      	3.799159e-01
0.288606      	3.599204e-01
0.290885      	3.799159e-01
0.293164      	3.599204e-01
0.295442      	3.599204e-01
0.297721      	3.599204e-01
0.3           	3.599204e-01
0.302381      	3.399248e-01
0.304762      	3.399248e-01
0.307275      	3.399248e-01
0.309649      	3.399248e-01
0.312171      	3.399248e-01
0.314062      	3.399248e-01
0.316308      	3.399248e-01
0.318715      	3.599204e-01
0.320453      	3.599204e-01
0.322423      	3.599204e-01
0.324721      	3.599204e-01
0.327019      	3.599204e-01
0.329572      	3.799159e-01
0.331842      	3.799159e-01
0.33386       	3.599204e-01
0.335653      	3.599204e-01
0.337703      	3.599204e-01
0.340162      	3.799159e-01
0.342622      	3.799159e-01
0.345081      	3.799159e-01
0.347541      	3.799159e-01
0.35          	3.999115e-01
0.352632      	3.799159e-01
0.355         	3.799159e-01
0.35725       	3.999115e-01
0.359922      	3.999115e-01
0.362427      	3.999115e-01
0.364932      	3.999115e-01
0.367437      	3.999115e-01
0.37015       	4.199071e-01
0.372446      	3.999115e-01
0.374951      	4.199071e-01
0.377456      	4.199071e-01
0.379961      	4.399027e-01
0.382188      	4.199071e-01
0.384732      	4.199071e-01
0.387277      	4.399027e-01
0.389397      	4.399027e-01
0.391518      	4.399027e-01
0.393638      	4.399027e-01
0.395759      	4.399027e-01
0.397879      	4.598983e-01
0.4           	4.598983e-01
0.4025        	4.598983e-01
0.404565      	4.598983e-01
0.406957      	4.598983e-01
0.409647      	4.598983e-01
0.411481      	4.399027e-01
0.413315      	4.399027e-01
0.415473      	4.598983e-01
0.417939      	4.598983e-01
0.420854      	4.598983e-01
0.422936      	4.598983e-01
0.425396      	4.798938e-01
0.427857      	4.798938e-01
0.430625      	4.798938e-01
0.433046      	4.798938e-01
0.435468      	4.598983e-01
0.437544      	4.598983e-01
0.440035      	4.798938e-01
0.442028      	4.798938e-01
0.444021      	4.798938e-01
0.446014      	4.798938e-01
0.448007      	4.798938e-01
0.45          	4.798938e-01
